file_name	int_area
1604_SFMG_EMP_2-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFMG_EMS_1-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFMG_EMZ_1-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFMG_EMZ_2-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	25109.75272
1604_SFMG_SMP_2-ProcessedContour_IFE_RM_NRM.dat	25109.75272
1604_SFPR_EML_1-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFPR_EMP_1-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFPR_EMP_2-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFPR_EMS_1-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	25109.75272
1604_SFPR_SMP_2-ProcessedContour_IFE_RM_NRM.dat	25109.75272
1604_SFSI_EMD_2-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFSI_EML_1-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFSI_EMP_1-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFSI_EMS_1-ProcessedContour_IFE_RM_NRM.dat	25703.63511
1604_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	25109.75272
1604_SFSI_SMP_2-ProcessedContour_IFE_RM_NRM.dat	25109.75272
1605_BLNK_EMB_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_BLNK_EMB_2-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_ELDC_EMD_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_ELDC_EML_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_ELDC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_ELDC_EMS_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_ELDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_FOXC_EMD_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_FOXC_EML_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_FOXC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_FOXC_EMS_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_FOXC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_REDC_EMD_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_REDC_EML_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_REDC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_REDC_EMS_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_REDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFCD_EMD_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFCD_EML_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFCD_EMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFCD_EMS_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFCD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMD_EMD_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMD_EML_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMD_EMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMD_EMS_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMG_EMD_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMG_EML_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMG_EMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMG_EMS_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFMG_SMP_2-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFPR_EMD_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFPR_EML_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFPR_EMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFPR_EMS_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFSI_EMD_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFSI_EML_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFSI_EMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFSI_EMS_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1605_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24761.48839
1607_ELDC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
