file_name	base_name	yr_mo	int_area	int_gain	samp_gain
1604_REDC_EML_1-ProcessedContour_IFE_RM_NRM.dat	1604_REDC_EML_1	1604	25703.63511	med	low
1604_REDC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1604_REDC_EMP_1	1604	25703.63511	med	low
1604_REDC_EMP_2-ProcessedContour_IFE_RM_NRM.dat	1604_REDC_EMP_2	1604	25703.63511	med	low
1604_REDC_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1604_REDC_EMS_1	1604	25703.63511	med	low
1604_REDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	1604_REDC_SMP_2	1604	25109.75272	med	low
1604_SFCD_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFCD_EMD_1	1604	25703.63511	med	low
1604_SFCD_EML_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFCD_EML_1	1604	25703.63511	med	low
1604_SFCD_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFCD_EMP_1	1604	25703.63511	med	low
1604_SFCD_EMP_2-ProcessedContour_IFE_RM_NRM.dat	1604_SFCD_EMP_2	1604	25703.63511	med	low
1604_SFCD_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFCD_EMS_1	1604	25703.63511	med	low
1604_SFMD_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFMD_EMD_1	1604	25703.63511	med	low
1604_SFMD_EML_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFMD_EML_1	1604	25703.63511	med	low
1604_SFMD_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFMD_EMP_1	1604	25703.63511	med	low
1604_SFMD_EMP_2-ProcessedContour_IFE_RM_NRM.dat	1604_SFMD_EMP_2	1604	25703.63511	med	low
1604_SFMD_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFMD_EMS_1	1604	25703.63511	med	low
1604_SFMG_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFMG_EMD_1	1604	25703.63511	med	low
1604_SFMG_EML_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFMG_EML_1	1604	25703.63511	med	low
1604_SFMG_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFMG_EMP_1	1604	25703.63511	med	low
1604_SFMG_EMP_2-ProcessedContour_IFE_RM_NRM.dat	1604_SFMG_EMP_2	1604	25703.63511	med	low
1604_SFMG_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFMG_EMS_1	1604	25703.63511	med	low
1604_SFMG_EMZ_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFMG_EMZ_1	1604	25703.63511	med	low
1604_SFMG_EMZ_2-ProcessedContour_IFE_RM_NRM.dat	1604_SFMG_EMZ_2	1604	25703.63511	med	low
1604_SFPR_EML_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFPR_EML_1	1604	25703.63511	med	low
1604_SFPR_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFPR_EMP_1	1604	25703.63511	med	low
1604_SFPR_EMP_2-ProcessedContour_IFE_RM_NRM.dat	1604_SFPR_EMP_2	1604	25703.63511	med	low
1604_SFPR_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFPR_EMS_1	1604	25703.63511	med	low
1604_SFSI_EMD_2-ProcessedContour_IFE_RM_NRM.dat	1604_SFSI_EMD_2	1604	25703.63511	med	low
1604_SFSI_EML_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFSI_EML_1	1604	25703.63511	med	low
1604_SFSI_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFSI_EMP_1	1604	25703.63511	med	low
1604_SFSI_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1604_SFSI_EMS_1	1604	25703.63511	med	low
1605_BLNK_EMB_1-ProcessedContour_IFE_RM_NRM.dat	1605_BLNK_EMB_1	1605	24761.48839	med	low
1605_BLNK_EMB_2-ProcessedContour_IFE_RM_NRM.dat	1605_BLNK_EMB_2	1605	24761.48839	med	low
1605_ELDC_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1605_ELDC_EMD_1	1605	24761.48839	med	low
1605_ELDC_EML_1-ProcessedContour_IFE_RM_NRM.dat	1605_ELDC_EML_1	1605	24761.48839	med	low
1605_ELDC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_ELDC_EMP_1	1605	24761.48839	med	low
1605_ELDC_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1605_ELDC_EMS_1	1605	24761.48839	med	low
1605_FOXC_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1605_FOXC_EMD_1	1605	24761.48839	med	low
1605_FOXC_EML_1-ProcessedContour_IFE_RM_NRM.dat	1605_FOXC_EML_1	1605	24761.48839	med	low
1605_FOXC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_FOXC_EMP_1	1605	24761.48839	med	low
1605_FOXC_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1605_FOXC_EMS_1	1605	24761.48839	med	low
1605_REDC_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1605_REDC_EMD_1	1605	24761.48839	med	low
1605_REDC_EML_1-ProcessedContour_IFE_RM_NRM.dat	1605_REDC_EML_1	1605	24761.48839	med	low
1605_REDC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_REDC_EMP_1	1605	24761.48839	med	low
1605_REDC_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1605_REDC_EMS_1	1605	24761.48839	med	low
1605_SFCD_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFCD_EMD_1	1605	24761.48839	med	low
1605_SFCD_EML_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFCD_EML_1	1605	24761.48839	med	low
1605_SFCD_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFCD_EMP_1	1605	24761.48839	med	low
1605_SFCD_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFCD_EMS_1	1605	24761.48839	med	low
1605_SFMD_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFMD_EMD_1	1605	24761.48839	med	low
1605_SFMD_EML_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFMD_EML_1	1605	24761.48839	med	low
1605_SFMD_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFMD_EMP_1	1605	24761.48839	med	low
1605_SFMD_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFMD_EMS_1	1605	24761.48839	med	low
1605_SFMG_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFMG_EMD_1	1605	24761.48839	med	low
1605_SFMG_EML_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFMG_EML_1	1605	24761.48839	med	low
1605_SFMG_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFMG_EMP_1	1605	24761.48839	med	low
1605_SFMG_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFMG_EMS_1	1605	24761.48839	med	low
1605_SFPR_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFPR_EMD_1	1605	24761.48839	med	low
1605_SFPR_EML_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFPR_EML_1	1605	24761.48839	med	low
1605_SFPR_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFPR_EMP_1	1605	24761.48839	med	low
1605_SFPR_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFPR_EMS_1	1605	24761.48839	med	low
1605_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFPR_SMP_1	1605	24761.48839	med	low
1605_SFSI_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFSI_EMD_1	1605	24761.48839	med	low
1605_SFSI_EML_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFSI_EML_1	1605	24761.48839	med	low
1605_SFSI_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFSI_EMP_1	1605	24761.48839	med	low
1605_SFSI_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFSI_EMS_1	1605	24761.48839	med	low
1605_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1605_SFSI_SMP_1	1605	24761.48839	med	low
1607_ELDC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1607_ELDC_EMP_1	1607	23870.69652	med	low
1607_SFCD_EMC_1-ProcessedContour_IFE_RM_NRM.dat	1607_SFCD_EMC_1	1607	23870.69652	med	low
1607_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1607_SFCD_SMP_1	1607	23870.69652	med	low
1607_SFMG_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1607_SFMG_EMP_1	1607	23870.69652	med	low
1607_SFMG_EMR_1-ProcessedContour_IFE_RM_NRM.dat	1607_SFMG_EMR_1	1607	23870.69652	med	low
1607_SFMG_EMY_1-ProcessedContour_IFE_RM_NRM.dat	1607_SFMG_EMY_1	1607	23870.69652	med	low
1607_SFPR_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1607_SFPR_EMP_1	1607	23870.69652	med	low
1607_SFPR_EMR_1-ProcessedContour_IFE_RM_NRM.dat	1607_SFPR_EMR_1	1607	23870.69652	med	low
1608_BLNK_EMB_1-ProcessedContour_IFE_RM_NRM.dat	1608_BLNK_EMB_1	1608	11413.1167	low	low
1608_ELDC_EML_1-ProcessedContour_IFE_RM_NRM.dat	1608_ELDC_EML_1	1608	11499.41688	low	low
1608_ELDC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_ELDC_EMP_1	1608	11413.1167	low	low
1608_FOXC_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1608_FOXC_EMD_1	1608	11499.41688	low	low
1608_FOXC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_FOXC_EMP_1	1608	11413.1167	low	low
1608_REDC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_REDC_EMP_1	1608	11413.1167	low	low
