ex	em	z
599	364.441	0
599	366.07	0
599	367.699	0
599	369.328	0
599	370.959	0
599	372.589	0
599	374.221	0
599	375.852	0
599	377.485	0
599	379.117	0
599	380.751	0
599	382.384	0
599	384.019	0
599	385.654	0
599	387.289	0
599	388.925	0
599	390.561	0
599	392.198	0
599	393.835	0
599	395.473	0
599	397.111	0
599	398.75	0
599	400.39	0
599	402.029	0
599	403.67	0
599	405.31	0
599	406.951	0
599	408.593	0
599	410.235	0
599	411.878	0
599	413.521	0
599	415.165	0
599	416.809	0
599	418.453	0
599	420.098	0
599	421.744	0
599	423.39	0
599	425.036	0
599	426.683	0
599	428.33	0
599	429.978	0
599	431.626	0
599	433.274	0
599	434.923	0
599	436.573	0
599	438.223	0
599	439.873	0
599	441.524	0
599	443.175	0
599	444.827	0
599	446.479	0
599	448.131	0
599	449.784	0
599	451.437	0
599	453.091	0
599	454.745	0
599	456.4	0
599	458.055	0
599	459.71	0
599	461.366	0
599	463.022	0
599	464.678	0
599	466.335	0
599	467.993	0
599	469.651	0
599	471.309	0
599	472.967	0
599	474.626	0
599	476.285	0
599	477.945	0
599	479.605	0
599	481.265	0
599	482.926	0
599	484.587	0
599	486.249	0
599	487.911	0
599	489.573	0
599	491.236	0
599	492.899	0
599	494.562	0
599	496.226	0
599	497.89	0
599	499.554	0
599	501.219	0
599	502.884	0
599	504.549	0
599	506.215	0
599	507.881	0
599	509.548	0
599	511.214	0
599	512.881	0
599	514.549	0
599	516.217	0
599	517.885	0
599	519.553	0
599	521.222	0
599	522.891	0
599	524.56	0
599	526.23	0
599	527.9	0
599	529.57	0
599	531.24	0
599	532.911	0
599	534.582	0
599	536.254	0
599	537.925	0
599	539.597	0
599	541.27	0
599	542.942	0
599	544.615	0
599	546.288	0
599	547.961	0
599	549.635	0
599	551.309	0
599	552.983	0
599	554.658	0
599	556.332	0
599	558.007	0
599	559.683	0
599	561.358	0
599	563.034	0
599	564.71	0
599	566.386	0
599	568.063	0
599	569.739	0
599	571.416	0
599	573.093	0
599	574.771	0
599	576.448	0
599	578.126	0
599	579.804	0
599	581.483	0
599	583.161	0
599	584.84	0
599	586.519	0
599	588.198	0
599	589.878	0
599	591.557	0
599	593.237	0
599	594.917	0
599	596.597	0
599	598.277	0
599	599.958	0
599	601.639	0
599	603.32	0
599	605.001	0
599	606.682	0
599	608.364	0
599	610.045	0
599	611.727	-0.0116099772223274
599	613.409	-0.00403758527189879
599	615.091	0.00244612628102662
599	616.774	-0.00645934245032214
599	618.456	-0.00219905016200972
599	620.139	-0.00268284061069457
598	212.423	0
598	213.993	0
598	215.563	0
598	217.134	0
598	218.706	0
598	220.279	0
598	221.852	0
598	223.426	0
598	225	0
598	226.576	0
598	228.152	0
598	229.728	0
598	231.305	0
598	232.883	0
598	234.462	0
598	236.042	0
598	237.622	0
598	239.202	0
598	240.784	0
598	242.366	0
598	243.948	0
598	245.532	0
598	247.116	0
598	248.701	0
598	250.286	0
